ID,ClassI,Class
25321.jpg,0,MIDDLE
989.jpg,2,YOUNG
19277.jpg,0,MIDDLE
13093.jpg,2,YOUNG
5367.jpg,2,YOUNG
19851.jpg,0,MIDDLE
10384.jpg,0,MIDDLE
24567.jpg,2,YOUNG
2029.jpg,0,MIDDLE
4956.jpg,0,MIDDLE
26131.jpg,0,MIDDLE
17407.jpg,0,MIDDLE
11136.jpg,1,OLD
23038.jpg,0,MIDDLE
6333.jpg,2,YOUNG
25076.jpg,0,MIDDLE
22102.jpg,2,YOUNG
12396.jpg,0,MIDDLE
24719.jpg,2,YOUNG
21354.jpg,0,MIDDLE
15362.jpg,2,YOUNG
10415.jpg,2,YOUNG
5295.jpg,2,YOUNG
5531.jpg,2,YOUNG
16784.jpg,0,MIDDLE
22442.jpg,0,MIDDLE
16794.jpg,0,MIDDLE
11261.jpg,0,MIDDLE
11540.jpg,0,MIDDLE
24286.jpg,0,MIDDLE
5997.jpg,2,YOUNG
4115.jpg,2,YOUNG
23605.jpg,2,YOUNG
5640.jpg,2,YOUNG
22459.jpg,1,OLD
24442.jpg,0,MIDDLE
13300.jpg,2,YOUNG
23446.jpg,0,MIDDLE
8907.jpg,2,YOUNG
9497.jpg,2,YOUNG
4530.jpg,0,MIDDLE
24152.jpg,0,MIDDLE
26181.jpg,0,MIDDLE
20786.jpg,2,YOUNG
13099.jpg,0,MIDDLE
10797.jpg,2,YOUNG
4642.jpg,2,YOUNG
24350.jpg,2,YOUNG
2384.jpg,0,MIDDLE
4490.jpg,2,YOUNG
2823.jpg,2,YOUNG
18937.jpg,0,MIDDLE
1292.jpg,0,MIDDLE
1663.jpg,2,YOUNG
503.jpg,0,MIDDLE
22686.jpg,1,OLD
18205.jpg,2,YOUNG
7306.jpg,0,MIDDLE
10900.jpg,2,YOUNG
12532.jpg,0,MIDDLE
9272.jpg,2,YOUNG
23320.jpg,0,MIDDLE
2298.jpg,0,MIDDLE
15041.jpg,2,YOUNG
23386.jpg,0,MIDDLE
8865.jpg,1,OLD
18894.jpg,0,MIDDLE
14232.jpg,0,MIDDLE
4636.jpg,0,MIDDLE
13609.jpg,2,YOUNG
5141.jpg,0,MIDDLE
16092.jpg,0,MIDDLE
23806.jpg,2,YOUNG
14763.jpg,0,MIDDLE
1933.jpg,2,YOUNG
12917.jpg,0,MIDDLE
18140.jpg,0,MIDDLE
7711.jpg,2,YOUNG
16442.jpg,0,MIDDLE
18731.jpg,1,OLD
1376.jpg,0,MIDDLE
11482.jpg,1,OLD
6894.jpg,0,MIDDLE
8191.jpg,2,YOUNG
7911.jpg,0,MIDDLE
14689.jpg,0,MIDDLE
25571.jpg,0,MIDDLE
4671.jpg,0,MIDDLE
25710.jpg,1,OLD
23044.jpg,2,YOUNG
10649.jpg,1,OLD
16249.jpg,0,MIDDLE
3464.jpg,0,MIDDLE
2629.jpg,0,MIDDLE
2428.jpg,1,OLD
16217.jpg,0,MIDDLE
10249.jpg,1,OLD
3613.jpg,1,OLD
25659.jpg,2,YOUNG
7501.jpg,0,MIDDLE
25761.jpg,2,YOUNG
19089.jpg,0,MIDDLE
20533.jpg,0,MIDDLE
2858.jpg,0,MIDDLE
17232.jpg,0,MIDDLE
3231.jpg,2,YOUNG
18082.jpg,0,MIDDLE
23427.jpg,1,OLD
21470.jpg,0,MIDDLE
22629.jpg,2,YOUNG
9837.jpg,2,YOUNG
17170.jpg,2,YOUNG
21993.jpg,0,MIDDLE
21618.jpg,2,YOUNG
25295.jpg,2,YOUNG
16673.jpg,0,MIDDLE
11097.jpg,0,MIDDLE
10495.jpg,2,YOUNG
15512.jpg,0,MIDDLE
3833.jpg,0,MIDDLE
14499.jpg,0,MIDDLE
11137.jpg,0,MIDDLE
17768.jpg,2,YOUNG
7960.jpg,2,YOUNG
5486.jpg,0,MIDDLE
15810.jpg,0,MIDDLE
25061.jpg,1,OLD
13328.jpg,2,YOUNG
5877.jpg,2,YOUNG
4402.jpg,0,MIDDLE
18881.jpg,0,MIDDLE
25202.jpg,2,YOUNG
2754.jpg,0,MIDDLE
23763.jpg,0,MIDDLE
13345.jpg,0,MIDDLE
2974.jpg,2,YOUNG
19444.jpg,0,MIDDLE
1668.jpg,0,MIDDLE
21202.jpg,2,YOUNG
3381.jpg,0,MIDDLE
19413.jpg,1,OLD
8648.jpg,2,YOUNG
20221.jpg,1,OLD
6910.jpg,0,MIDDLE
21932.jpg,0,MIDDLE
10274.jpg,0,MIDDLE
15827.jpg,0,MIDDLE
6208.jpg,0,MIDDLE
1765.jpg,2,YOUNG
13448.jpg,2,YOUNG
18033.jpg,1,OLD
3536.jpg,0,MIDDLE
21105.jpg,0,MIDDLE
12546.jpg,0,MIDDLE
21808.jpg,0,MIDDLE
6250.jpg,2,YOUNG
11947.jpg,0,MIDDLE
10228.jpg,2,YOUNG
21394.jpg,0,MIDDLE
19823.jpg,0,MIDDLE
23314.jpg,0,MIDDLE
2963.jpg,0,MIDDLE
14291.jpg,2,YOUNG
10479.jpg,0,MIDDLE
6939.jpg,0,MIDDLE
21559.jpg,1,OLD
21537.jpg,0,MIDDLE
8089.jpg,0,MIDDLE
2957.jpg,0,MIDDLE
4105.jpg,0,MIDDLE
4847.jpg,0,MIDDLE
2785.jpg,0,MIDDLE
24357.jpg,0,MIDDLE
3627.jpg,0,MIDDLE
2130.jpg,0,MIDDLE
5310.jpg,0,MIDDLE
4261.jpg,0,MIDDLE
495.jpg,2,YOUNG
23589.jpg,1,OLD
14185.jpg,2,YOUNG
2976.jpg,0,MIDDLE
